"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
2916,3,"3156-11 AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.014286,70,0.0144468298231742,69.2193382381994
278,3,"3156-11 AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011111,90,0.0098887661696938,101.124850445419
652,3,"3156-11 AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.010989,91,0.0098887661696938,101.124850445419
1024,3,"3156-11 AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.010989,91,0.0098887661696938,101.124850445419
3898,3,"3156-11 AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0104199771456608,95.9695003185712
6125,3,"3156-11 AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.018868,53,0.0183857938859154,54.3898189115487
6430,3,"3156-11 AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.018868,53,0.0183857938859154,54.3898189115487
6879,3,"3156-11 AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019231,52,0.0183857938859154,54.3898189115487
5159,3,"3156-11 AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0172683521901342,57.9094049617149
5722,3,"3156-11 AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0172683521901342,57.9094049617149
5789,3,"3156-11 AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.016667,60,0.0172683521901342,57.9094049617149
110,3,"3156-11 AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.011310602789635,88.4126176649401
592,3,"3156-11 AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.011310602789635,88.4126176649401
858,3,"3156-11 AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.011310602789635,88.4126176649401
