"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
679,8,"CDC Imax AGL","2","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,5,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,79.5450025852125
1026,8,"CDC Imax AGL","3","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,5,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,79.5450025852125
1217,8,"CDC Imax AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,8,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,72.4375226367258
1470,8,"CDC Imax AGL","2","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,7,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,72.4375226367258
1804,8,"CDC Imax AGL","3","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,4,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,72.4375226367258
5312,10,"CDC KR-1 AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,50,50,72,95,"Su18",3.36363636363636,0.02,39,45,17.6,16.1,49.6622963845848
5400,10,"CDC KR-1 AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,49,49,73,95,"Su18",3.18181818181818,0.020408,38,46,17.6,16.1,49.6622963845848
5687,10,"CDC KR-1 AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,50,50,70,92,"Su18",3.36363636363636,0.02,39,42,17.6,16.1,49.6622963845848
1408,10,"CDC KR-1 AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,150,175,"It16",3.3859649122807,0.007519,109,42,10.6,10.8,151.823264591006
1625,10,"CDC KR-1 AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,156,184,"It16",3.3859649122807,0.007519,109,51,10.6,10.8,151.823264591006
1774,10,"CDC KR-1 AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,126,126,146,175,"It16",2.89473684210526,0.007937,102,49,10.6,10.8,151.823264591006
193,10,"CDC KR-1 AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,56,56,77,105,"Su16",3.8,0.017857,43,49,16.7,15.9,53.0120478074321
1161,10,"CDC KR-1 AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,50,50,70,98,"Ro16",3.75,0.02,42,48,17.2,16.2,50.6206269561888
1644,10,"CDC KR-1 AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,49,49,73,98,"Ro16",3.5,0.020408,41,49,17.2,16.2,50.6206269561888
