"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Cordoba, Spain 2016",124.333333333333,0.00805033333333333,12.5,10.9,131.740941524259
"Cordoba, Spain 2017",131.333333333333,0.00761566666666667,11.7,11.1,131.286367394602
"Bhopal, India 2016",85,0.011765,17.6,10.9,106.335703867074
"Bhopal, India 2017",NA,0.011765,20.6,10.7,98.9465489473368
"Marchouch, Morocco 2016",132.666666666667,0.007538,12,10.8,136.773175872846
"Marchouch, Morocco 2017",126,0.007937,11.8,11.5,117.79145707586
"Jessore, Bangladesh 2016",82,0.0121963333333333,18.6,10.8,104.662065779185
"Jessore, Bangladesh 2017",89,0.011237,21.7,11,90.4964133240841
"Central Ferry, USA 2018",66,0.0152013333333333,15.8,14.3,66.1279733393543
"Sutherland, Canada 2016",56,0.017857,16.7,15.9,52.6973919368556
"Sutherland, Canada 2017",57,0.0175473333333333,15.7,16.1,52.7137542103449
"Sutherland, Canada 2018",49.6666666666667,0.020147,17.6,16.1,50.7761207998656
"Metaponto, Italy 2016",127.666666666667,0.00783266666666667,10.6,10.9,141.247223145309
"Metaponto, Italy 2017",141,0.00709633333333333,11.2,10.8,139.977088856893
"Rosthern, Canada 2016",51.6666666666667,0.0193566666666667,17.2,16.1,52.7335579957997
"Rosthern, Canada 2017",49,0.020408,17.5,16.4,51.0007524104741
"Bardiya, Nepal 2016",131,0.00763566666666667,19.2,11,84.0584079985538
"Bardiya, Nepal 2017",123.5,0.0081005,19.4,10.8,85.6702408211101
"Cordoba, Spain 2016",117,0.00855,12.5,10.9,125.923165845245
"Cordoba, Spain 2017",131,0.007634,11.7,11.1,125.173921868954
"Bhopal, India 2016",NA,0.011628,17.6,10.9,106.055292396001
"Bhopal, India 2017",NA,0.011765,20.6,10.7,100.130001542579
"Marchouch, Morocco 2016",130.333333333333,0.00767266666666667,12,10.8,128.795425578283
"Marchouch, Morocco 2017",127,0.007874,11.8,11.5,111.720210272857
"Jessore, Bangladesh 2016",83,0.0120493333333333,18.6,10.8,102.888900415889
"Jessore, Bangladesh 2017",84,0.011905,21.7,11,89.9027525684321
"Central Ferry, USA 2018",62,0.016129,15.8,14.3,65.1024322452296
"Sutherland, Canada 2016",56,0.017857,16.7,15.9,52.4067996564675
"Sutherland, Canada 2017",57.6666666666667,0.017342,15.7,16.1,52.0778310928599
"Sutherland, Canada 2018",49,0.020408,17.6,16.1,50.7054628810219
"Metaponto, Italy 2016",128,0.007812,10.6,10.9,133.564480841033
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,133.83559189898
"Rosthern, Canada 2016",51,0.0196226666666667,17.2,16.1,52.6132335565254
"Rosthern, Canada 2017",50,0.0200053333333333,17.5,16.4,50.9002661250715
"Bardiya, Nepal 2016",124.5,0.0080355,19.2,11,92.0648898773804
"Bardiya, Nepal 2017",126.666666666667,0.00790333333333333,19.4,10.8,94.5171840971986
"Cordoba, Spain 2016",117,0.00855,12.5,10.9,125.151441175904
"Cordoba, Spain 2017",124.666666666667,0.00802233333333333,11.7,11.1,122.936350494518
"Bhopal, India 2016",NA,0.011628,17.6,10.9,113.671439038137
"Bhopal, India 2017",NA,0.011765,20.6,10.7,111.793178284824
"Marchouch, Morocco 2016",128,0.007812,12,10.8,127.38936129236
"Marchouch, Morocco 2017",121.666666666667,0.00822,11.8,11.5,109.763284875121
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,101.751803979267
"Jessore, Bangladesh 2017",98.6666666666667,0.0101463333333333,21.7,11,89.3024330361344
"Central Ferry, USA 2018",61,0.016393,15.8,14.3,65.3510871182261
"Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,51.0616447805936
"Sutherland, Canada 2017",57.3333333333333,0.0174603333333333,15.7,16.1,50.6899588162949
"Sutherland, Canada 2018",47.3333333333333,0.021129,17.6,16.1,49.3945256170769
"Metaponto, Italy 2016",129.666666666667,0.00771433333333333,10.6,10.9,134.664730081667
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,135.090546996146
"Rosthern, Canada 2016",49.6666666666667,0.020147,17.2,16.1,51.2686195994471
"Rosthern, Canada 2017",48.3333333333333,0.0207033333333333,17.5,16.4,49.5635318394599
"Bardiya, Nepal 2016",125.333333333333,0.00798033333333333,19.2,11,88.5110314888616
"Bardiya, Nepal 2017",128.666666666667,0.00777333333333333,19.4,10.8,90.7488986377833
"Cordoba, Spain 2016",117.333333333333,0.008526,12.5,10.9,125.674502179696
"Cordoba, Spain 2017",126.666666666667,0.007898,11.7,11.1,123.133297475819
"Bhopal, India 2016",NA,0.011628,17.6,10.9,116.177882533812
"Bhopal, India 2017",NA,0.011765,20.6,10.7,115.716835972719
"Marchouch, Morocco 2016",126,0.007937,12,10.8,129.668989277782
"Marchouch, Morocco 2017",118.666666666667,0.00842766666666667,11.8,11.5,110.493560598392
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,103.914950165881
"Jessore, Bangladesh 2017",98,0.010204,21.7,11,91.3431872434871
"Central Ferry, USA 2018",60.6666666666667,0.0164843333333333,15.8,14.3,63.856099401984
"Sutherland, Canada 2016",53,0.0188726666666667,16.7,15.9,49.617146568074
"Sutherland, Canada 2017",52,0.0192356666666667,15.7,16.1,49.5541831522328
"Sutherland, Canada 2018",47,0.021277,17.6,16.1,47.7713717432707
"Metaponto, Italy 2016",129.333333333333,0.007735,10.6,10.9,141.99037175526
"Metaponto, Italy 2017",144.333333333333,0.00692833333333333,11.2,10.8,141.084256978426
"Rosthern, Canada 2016",46.6666666666667,0.021511,17.2,16.1,49.8477188526859
