"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
2367,4,"CDC Greenstar AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00833625909097331,119.957883876573
2760,4,"CDC Greenstar AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00833625909097331,119.957883876573
2203,4,"CDC Greenstar AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008,125,0.0111680184367234,89.5413994582727
2623,4,"CDC Greenstar AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0111680184367234,89.5413994582727
2681,4,"CDC Greenstar AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008547,117,0.0111680184367234,89.5413994582727
1072,4,"CDC Greenstar AGL","1","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008696,115,0.00905842506776424,110.394466203474
1402,4,"CDC Greenstar AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00905842506776424,110.394466203474
1707,4,"CDC Greenstar AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.008547,117,0.00905842506776424,110.394466203474
312,4,"CDC Greenstar AGL","1","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.0076102374216218,131.401945116568
562,4,"CDC Greenstar AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.007194,139,0.0076102374216218,131.401945116568
913,4,"CDC Greenstar AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.007246,138,0.0076102374216218,131.401945116568
2279,4,"CDC Greenstar AGL","1","Central Ferry, USA 2018","Us18",15.8,14.3,0.017544,57,0.0155453768260124,64.3278069867488
2591,4,"CDC Greenstar AGL","2","Central Ferry, USA 2018","Us18",15.8,14.3,0.016393,61,0.0155453768260124,64.3278069867488
2879,4,"CDC Greenstar AGL","3","Central Ferry, USA 2018","Us18",15.8,14.3,0.016393,61,0.0155453768260124,64.3278069867488
140,4,"CDC Greenstar AGL","1","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011628,86,0.0108209178498842,92.4136024201222
564,4,"CDC Greenstar AGL","2","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011494,87,0.0108209178498842,92.4136024201222
825,4,"CDC Greenstar AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.011905,84,0.0108209178498842,92.4136024201222
3229,4,"CDC Greenstar AGL","1","Bardiya, Nepal 2016","Ne16",19.2,11,0.008065,124,0.0114206324917316,87.5608247375082
3853,4,"CDC Greenstar AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0114206324917316,87.5608247375082
6352,4,"CDC Greenstar AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.020408,49,0.0198465521910848,50.3865855576269
6553,4,"CDC Greenstar AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019231,52,0.0198465521910848,50.3865855576269
6806,4,"CDC Greenstar AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019608,51,0.0198465521910848,50.3865855576269
5306,4,"CDC Greenstar AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.017857,56,0.0185564920681196,53.8894957262972
5746,4,"CDC Greenstar AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.017241,58,0.0185564920681196,53.8894957262972
5844,4,"CDC Greenstar AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.017857,56,0.0185564920681196,53.8894957262972
1140,4,"CDC Greenstar AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.014706,68,0.0115189747161231,86.8132819668664
1368,4,"CDC Greenstar AGL","2","Bhopal, India 2017","In17",20.6,10.7,0.014706,68,0.0115189747161231,86.8132819668664
