"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
24,"CDC Sedley AGL","Rosthern, Canada 2017","Ro17",49.3333333333333,0.020283,17.5,16.4,46.4371514348165
24,"CDC Sedley AGL","Sutherland, Canada 2016","Su16",54.3333333333333,0.0184146666666667,16.7,15.9,50.0788713899238
24,"CDC Sedley AGL","Sutherland, Canada 2017","Su17",54.6666666666667,0.0183023333333333,15.7,16.1,52.5140771191532
24,"CDC Sedley AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,46.9991070169667
24,"CDC Sedley AGL","Central Ferry, USA 2018","Us18",60.5,0.01653,15.8,14.3,59.1380099858945
24,"CDC Sedley AGL","Bhopal, India 2016","In16",68.5,0.0147755,17.6,10.9,67.6796047511083
24,"CDC Sedley AGL","Bhopal, India 2017","In17",72,0.0138963333333333,20.6,10.7,55.3906773187479
24,"CDC Sedley AGL","Jessore, Bangladesh 2016","Ba16",85,0.011766,18.6,10.8,63.1850966306893
24,"CDC Sedley AGL","Jessore, Bangladesh 2017","Ba17",80.3333333333333,0.012451,21.7,11,50.7039831582731
24,"CDC Sedley AGL","Bardiya, Nepal 2016","Ne16",118.666666666667,0.00845633333333333,19.2,11,59.5869360346188
24,"CDC Sedley AGL","Bardiya, Nepal 2017","Ne17",121.666666666667,0.00822166666666667,19.4,10.8,59.6397039995135
24,"CDC Sedley AGL","Cordoba, Spain 2016","Sp16",114,0.00877766666666667,12.5,10.9,113.925492727756
24,"CDC Sedley AGL","Cordoba, Spain 2017","Sp17",123,0.00813133333333333,11.7,11.1,123.65696544408
24,"CDC Sedley AGL","Marchouch, Morocco 2016","Mo16",119,0.008403,12,10.8,123.998480628974
24,"CDC Sedley AGL","Marchouch, Morocco 2017","Mo17",118,0.00847566666666667,11.8,11.5,114.881684788136
24,"CDC Sedley AGL","Metaponto, Italy 2016","It16",128,0.007812,10.6,10.9,152.830892617319
24,"CDC Sedley AGL","Metaponto, Italy 2017","It17",137.666666666667,0.00727066666666667,11.2,10.8,140.374945962218
25,"CDC Vantage AGL","Rosthern, Canada 2016","Ro16",47.6666666666667,0.0211066666666667,17.2,16.1,48.0522356067066
25,"CDC Vantage AGL","Rosthern, Canada 2017","Ro17",47.6666666666667,0.020981,17.5,16.4,46.4371157928394
25,"CDC Vantage AGL","Sutherland, Canada 2016","Su16",51.6666666666667,0.0193756666666667,16.7,15.9,50.3450916838793
25,"CDC Vantage AGL","Sutherland, Canada 2017","Su17",53.6666666666667,0.018652,15.7,16.1,54.0993518685492
