"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
142,"PI 193546 AGL",-0.0204470584246609,0.000218147111268062,0.00238081232158093,0.902140348850411,14,5.96946799603061e-24,5.27193570599754e-05,9.20965174497267e-36
143,"PI 193547 LSP AGL",-0.0175320127841251,0.000299888988729817,0.00200366774095894,0.901791271139702,17,1.28065311767169e-22,6.00454578968748e-08,5.06415644048473e-33
144,"PI 193548 LSP AGL",-0.0202372262998471,0.00046565376477778,0.00224921010512524,0.779413287943623,18,9.01459622319217e-16,2.39052766498428e-07,1.91525591236921e-25
145,"PI 193550 AGL",-0.0200583551096951,0.00057125943476231,0.00213846865881095,0.737828743251698,18,6.80241508141962e-14,3.14898930206534e-08,1.54538194033474e-22
146,"PI 207492 LSP AGL",-0.0199720639863297,0.000380549002825659,0.00212689966740671,0.90629708818904,16,1.35663135521217e-23,3.85492155566667e-10,3.15318299389793e-33
147,"PI 518731 LSP AGL",-0.0204020563030291,0.000435753143295158,0.00210664364401011,0.837220113378161,17,4.64203438596189e-20,4.04288807981894e-09,6.12849625106203e-29
148,"PI 209858 LSP AGL",-0.0142703629947632,0.000255784135311815,0.00172890685574431,0.859853335706899,13,2.32397788226073e-17,5.12022375261026e-06,2.53610364377576e-29
149,"PI 211052 LSP AGL",-0.0219148375877499,0.000342913093672877,0.00231670664399989,0.927570521526772,15,1.13907394933557e-24,1.44334570162639e-08,1.21174707149949e-34
150,"PI 212100 LSP AGL",-0.0203521046802711,0.000341110997808189,0.00219175187014457,0.924747884501171,15,6.03339732691117e-27,9.52402065142661e-11,3.91134417381111e-37
151,"PI 212610 LSP AGL",-0.0190912362667217,0.000361377902393808,0.00206516613324559,0.917381256239676,16,9.91496736983946e-25,9.32474621475332e-11,8.78127520123975e-35
152,"PI 217949 LSP AGL",-0.0220093710335127,0.000324267035178855,0.00246477754097448,0.874207393647233,17,1.45195058336357e-21,1.85914706432145e-06,4.81480973687817e-32
153,"PI 238758 LSP AGL",-0.0196432811721665,0.000610867755166073,0.00186568923600773,0.786726673472173,18,2.22508697509067e-14,1.50741532755352e-09,8.05956202460088e-21
154,"PI 244046 AGL",-0.0199387724205375,0.000755058934067144,0.00197333318259816,0.816163407220632,18,1.54019431516774e-13,2.77887068503281e-11,1.0308762263896e-20
155,"PI 250156 LSP AGL",-0.021592538581018,0.00029373037918212,0.00240762327740319,0.892895045139034,16,4.95048945974811e-24,8.63599805337897e-07,1.41627796372254e-34
156,"PI 250158 LSP AGL",-0.0185117972084681,0.000487599210040874,0.00208247180823828,0.765149581637917,18,5.53182071402801e-13,6.26316549790018e-07,3.45623000002355e-22
157,"PI 251248 LSP AGL",-0.0217350699952379,0.000811217026719962,0.00208567873474659,0.845722460568674,18,6.59519807777665e-12,1.80472539357534e-09,6.66215496429618e-18
158,"PI 273664 LSP AGL",-0.0216071274890688,0.000301793559044358,0.00233126102468092,0.899863993516957,14,1.06426334539715e-23,5.11745356825125e-07,8.44535648375259e-34
159,"PI 280686 AGL",-0.0191901071059357,0.000544864327648067,0.00204847357728953,0.782325716313827,18,5.80276128282662e-13,1.41177960772297e-07,3.42901080001233e-21
160,"PI 283604 LSP AGL",-0.0182498256104304,0.00025108122920829,0.00212277039698593,0.916437316928069,16,2.42340494892287e-21,4.61967973131268e-05,4.24188341325027e-31
161,"PI 289066 AGL",-0.0143645523935522,0.00025905343162162,0.00173704883314431,0.8290198827345,14,1.1775128193741e-15,2.07810322765275e-05,2.6559189828774e-26
162,"PI 289073 LSP AGL",-0.0186422807800522,0.000356380188291917,0.00202711442529312,0.914134294917302,17,2.62970497077078e-24,3.71499587244106e-10,3.29757741456445e-34
